measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,152,Saudi Arabia,3,Both,22,All Ages,626,Musculoskeletal disorders,1,Number,2018,5809518.264766535,6272915.751347113,5348586.626928817
5,Prevalence,152,Saudi Arabia,1,Male,22,All Ages,626,Musculoskeletal disorders,2,Percent,2018,0.1671503838213394,0.18098690296633646,0.1533542008730422
5,Prevalence,152,Saudi Arabia,2,Female,22,All Ages,626,Musculoskeletal disorders,2,Percent,2018,0.18024240667763433,0.19462990427637625,0.1665685546323556
5,Prevalence,152,Saudi Arabia,3,Both,22,All Ages,626,Musculoskeletal disorders,2,Percent,2018,0.17268921707237134,0.18645387655825035,0.1589072050609077
5,Prevalence,152,Saudi Arabia,1,Male,22,All Ages,626,Musculoskeletal disorders,3,Rate,2018,15929.176005132636,17263.42646624914,14618.699478784622
5,Prevalence,152,Saudi Arabia,2,Female,22,All Ages,626,Musculoskeletal disorders,3,Rate,2018,17584.48622495443,18977.310461824367,16232.101983488476
5,Prevalence,152,Saudi Arabia,3,Both,22,All Ages,626,Musculoskeletal disorders,3,Rate,2018,16620.053112890735,17945.755260357655,15301.405343292496
5,Prevalence,72,New Zealand,1,Male,22,All Ages,972,Headache disorders,1,Number,2019,696128.1761588404,748808.0375119335,643057.3166386592
5,Prevalence,72,New Zealand,2,Female,22,All Ages,972,Headache disorders,1,Number,2019,915876.8158045161,980110.3096989836,852671.9585806943
5,Prevalence,72,New Zealand,3,Both,22,All Ages,972,Headache disorders,1,Number,2019,1612004.991963356,1725656.2136288604,1493406.9600311224
5,Prevalence,72,New Zealand,1,Male,22,All Ages,972,Headache disorders,2,Percent,2019,0.3478706435243796,0.37354691236454135,0.3216798135418498
5,Prevalence,72,New Zealand,2,Female,22,All Ages,972,Headache disorders,2,Percent,2019,0.42010354239438913,0.4491912950652386,0.39145971135103
5,Prevalence,72,New Zealand,3,Both,22,All Ages,972,Headache disorders,2,Percent,2019,0.38553285899041245,0.41229274086744094,0.35862273424236685
5,Prevalence,72,New Zealand,1,Male,22,All Ages,972,Headache disorders,3,Rate,2019,31838.197015591435,34247.56911394349,29410.942180837043
5,Prevalence,72,New Zealand,2,Female,22,All Ages,972,Headache disorders,3,Rate,2019,39661.892579102074,42443.51330675956,36924.81679070942
5,Prevalence,72,New Zealand,3,Both,22,All Ages,972,Headache disorders,3,Rate,2019,35856.858550880665,38384.8753992847,33218.80663627246
5,Prevalence,133,Venezuela (Bolivarian Republic of),1,Male,22,All Ages,570,Bipolar disorder,1,Number,2019,108349.06126415772,137492.82279972336,83960.44473597068
5,Prevalence,133,Venezuela (Bolivarian Republic of),2,Female,22,All Ages,570,Bipolar disorder,1,Number,2019,136414.64828875024,171755.8873055501,104333.46559572668
5,Prevalence,133,Venezuela (Bolivarian Republic of),3,Both,22,All Ages,570,Bipolar disorder,1,Number,2019,244763.709552908,307975.6643888761,188443.1617277722
5,Prevalence,133,Venezuela (Bolivarian Republic of),1,Male,22,All Ages,570,Bipolar disorder,2,Percent,2019,0.008304355242984644,0.010570459040238778,0.006424917328799599
5,Prevalence,133,Venezuela (Bolivarian Republic of),2,Female,22,All Ages,570,Bipolar disorder,2,Percent,2019,0.009802644116094888,0.012339178288007728,0.0074982711109090145
5,Prevalence,133,Venezuela (Bolivarian Republic of),3,Both,22,All Ages,570,Bipolar disorder,2,Percent,2019,0.009077627105683586,0.011429138162262107,0.0069898603347826535
5,Prevalence,133,Venezuela (Bolivarian Republic of),1,Male,22,All Ages,570,Bipolar disorder,3,Rate,2019,786.5873449162475,998.1638342708094,609.53203038688
5,Prevalence,133,Venezuela (Bolivarian Republic of),2,Female,22,All Ages,570,Bipolar disorder,3,Rate,2019,954.3215693568056,1201.5597296615283,729.8899192482047
5,Prevalence,133,Venezuela (Bolivarian Republic of),3,Both,22,All Ages,570,Bipolar disorder,3,Rate,2019,872.007672457804,1097.2098060122696,671.3572169215062
5,Prevalence,133,Venezuela (Bolivarian Republic of),1,Male,22,All Ages,571,Anxiety disorders,1,Number,2019,422671.2467088721,536081.932972008,332892.281199408
5,Prevalence,133,Venezuela (Bolivarian Republic of),2,Female,22,All Ages,571,Anxiety disorders,1,Number,2019,738024.7143307641,937917.926879795,584195.6341581498
5,Prevalence,133,Venezuela (Bolivarian Republic of),3,Both,22,All Ages,571,Anxiety disorders,1,Number,2019,1160695.9610396363,1462927.0857849936,919352.4968751542
5,Prevalence,133,Venezuela (Bolivarian Republic of),1,Male,22,All Ages,571,Anxiety disorders,2,Percent,2019,0.03239553086428118,0.041191107614305826,0.02554583246834146
5,Prevalence,133,Venezuela (Bolivarian Republic of),2,Female,22,All Ages,571,Anxiety disorders,2,Percent,2019,0.05303310830996311,0.06752951719343842,0.04202136367967515
5,Prevalence,133,Venezuela (Bolivarian Republic of),3,Both,22,All Ages,571,Anxiety disorders,2,Percent,2019,0.04304684203909477,0.0542392489014837,0.034116017734761514
5,Prevalence,133,Venezuela (Bolivarian Republic of),1,Male,22,All Ages,571,Anxiety disorders,3,Rate,2019,3068.488548420433,3891.822036980705,2416.7154985621987
5,Prevalence,133,Venezuela (Bolivarian Republic of),2,Female,22,All Ages,571,Anxiety disorders,3,Rate,2019,5163.029868415721,6561.431042311473,4086.881441215255
5,Prevalence,133,Venezuela (Bolivarian Republic of),3,Both,22,All Ages,571,Anxiety disorders,3,Rate,2019,4135.154616124024,5211.898632281103,3275.332084289573
5,Prevalence,376,Northern Mariana Islands,1,Male,22,All Ages,972,Headache disorders,1,Number,2019,6631.755877798518,7356.13272841799,5957.636891215866
5,Prevalence,376,Northern Mariana Islands,2,Female,22,All Ages,972,Headache disorders,1,Number,2019,7522.03054680128,8186.876175842988,6813.034402184599
5,Prevalence,376,Northern Mariana Islands,3,Both,22,All Ages,972,Headache disorders,1,Number,2019,14153.786424599799,15505.86151666721,12815.071812127644
5,Prevalence,376,Northern Mariana Islands,1,Male,22,All Ages,972,Headache disorders,2,Percent,2019,0.31696225792960936,0.3501911102774627,0.28532832356792176
5,Prevalence,376,Northern Mariana Islands,2,Female,22,All Ages,972,Headache disorders,2,Percent,2019,0.3748443728404752,0.40805490838906194,0.33986178614399853
5,Prevalence,376,Northern Mariana Islands,3,Both,22,All Ages,972,Headache disorders,2,Percent,2019,0.34529909565888206,0.37734658240097846,0.3123984812494807
